team|player|observations|score|expectedScore|scoreDiff
Fremantle|Liam Henry|28|69|77.309087|-8.30908699999999
Sydney Swans|James Bell|7|14|22.17563|-8.17563
Hawthorn|Oliver Hanrahan|20|54|62.1018517|-8.1018517
Gold Coast Suns|Sam Day|7|22|30.00943|-8.00943
Melbourne|Luke Jackson|31|100|107.895372|-7.89537200000002
Sydney Swans|Sam Wicks|39|120|127.8011477|-7.8011477
Gold Coast Suns|Darcy MacPherson|8|12|19.740741|-7.740741
GWS Giants|NA NA|343|731|738.7045947|-7.70459470000037
Western Bulldogs|Marcus Bontempelli|48|148|155.4062257|-7.40622570000002
Western Bulldogs|Tim English|37|128|135.4028759|-7.40287589999997
Carlton|Jack Martin|17|54|61.321636|-7.321636
GWS Giants|Jack Buckley|3|2|9.25|-7.25
Essendon|Sam Durham|4|8|15.240216|-7.240216
North Melbourne|Tristan Xerri|6|8|15.187292|-7.187292
GWS Giants|Jesse Hogan|33|128|135.17647|-7.17646999999999
Richmond|Toby Nankervis|7|10|17.02632|-7.02632
Richmond|Jayden Short|5|8|15|-7
North Melbourne|Eddie Ford|8|21|27.923686|-6.923686
West Coast Eagles|Connor West|6|10|16.671852|-6.671852
Melbourne|Christian Salem|4|7|13.650728|-6.650728
St Kilda|Dean Kent|11|24|30.574945|-6.574945
Collingwood|Taylor Adams|7|14|20.50758|-6.50758
St Kilda|Luke Dunstan|7|10|16.497917|-6.497917
Melbourne|Nathan Jones|7|15|21.45238|-6.45238
Melbourne|Charlie Spargo|37|105|111.432229|-6.43222899999999
Essendon|Brayden Ham|14|38|44.42277|-6.42277
North Melbourne|Kayne Turner|6|16|22.39652|-6.39652
Carlton|Harry McKay|100|369|375.329959|-6.32995899999992
Adelaide Crows|Jackson Hately|3|2|8.326811|-6.326811
Brisbane Lions|Jarrod Berry|6|20|26.221678|-6.221678
Western Bulldogs|Rhylee West|3|2|8.1875|-6.1875
Richmond|Josh Caddy|7|15|21.182285|-6.182285
Adelaide Crows|Rory Laird|13|24|30.1706857|-6.1706857
Melbourne|Sam Weideman|10|22|28.165884|-6.165884
Hawthorn|James Cousins|9|17|23.067765|-6.067765
GWS Giants|Harry Perryman|12|28|34.057413|-6.057413
North Melbourne|Todd Goldstein|19|76|82.052505|-6.052505
Carlton|Levi Casboult|20|53|59.018298|-6.018298
Port Adelaide|Travis Boak|26|63|68.8891717|-5.88917169999999
Geelong Cats|Sam De Koning|3|2|7.8|-5.8
Port Adelaide|Mitch Georgiades|58|203|208.7849879|-5.7849879
Adelaide Crows|Tom Lynch|21|57|62.77818|-5.77818
